rownames,year,rank,games_played,home_games,wins,losses,runs_scored,at_bats,hits,doubles,triples,homeruns,walks,strikeouts_by_batters,stolen_bases,caught_stealing,batters_hit_by_pitch,sacrifice_flies,opponents_runs_scored,earned_runs_allowed,earned_run_average,complete_games,shutouts,saves,outs_pitches,hits_allowed,homeruns_allowed,walks_allowed,strikeouts_by_pitchers,errors,double_plays,fielding_percentage,home_attendance
-1.731428774577882,-2.179191627844275,0.008508268053925003,-4.5673023118854585,,-2.3379959215703408,-2.850974487728207,-1.7163591526132842,-4.131985026384089,-3.4661275893413364,-2.5816774066112815,-0.9852402032382871,-1.6469745371276372,-3.788781305348439,-2.2837489795697667,,,,,-1.8582282201484894,-3.0761435470223417,-1.8282346362511914,0.08497541507956916,-1.3790859558185695,-1.181649863597767,-4.421264695530926,-3.3758959668090336,-1.778846391683781,-3.4208927977144756,-2.343348255437403,3.034009715103032,-3.0297616914127987,-5.839725977840581,
-1.7301844851243586,-2.179191627844275,-1.3322663505570465,-4.787099368717968,,-1.5207191707761767,-3.9234976426814336,-0.503840989760483,-4.089112952848862,-2.3739014910892564,-1.9299930164477295,-0.6181608461751011,-1.6632397405549515,-3.6828974220831734,-2.4607457751006185,,,,,-3.3678037049830474,-3.5244554972272097,-2.8433749451774513,0.3208916477924426,-0.1724308929096918,-1.3718213539008453,-4.660066708297807,-4.035150657780814,-1.7960736695970434,-4.089448666664548,-2.42986888220692,1.2609166206861462,-3.3169850530976857,-3.7885277539813584,
-1.7289401956708352,-2.179191627844275,1.79620775953522,-4.842048632926096,,-4.224019192633796,-1.2737345539734621,-3.562873740487158,-4.709109093204445,-4.370038843067195,-3.419557336821563,-1.535859238833066,-1.728300554264209,-3.9387834733075655,-2.1568456167363257,,,,,-0.8492373520466345,-2.6128878651439784,-0.325826979040326,0.2946787330465678,-1.9824134872730086,-1.6253833409716163,-4.668093666710139,-2.7485406963681465,-1.744391835857256,-4.044878275401211,-2.3999194344790102,3.3332191747858815,-2.9340205708511693,-6.839027676643792,
-1.7276959062173116,-2.179191627844275,-0.8853414776867226,-4.622251576093586,,-1.835056382620086,-3.481870461230105,-2.0492072757493474,-4.2276227288857475,-3.530692678893183,-2.5816774066112815,-1.0770100425040836,-1.7608309611188375,-3.9564307871851097,-2.3505402231663144,,,,,-3.3365171664372535,-3.5244554972272097,-2.9651917822486027,0.6092337099970657,0.22978746139326747,-1.6253833409716163,-4.469426446004919,-4.237180321143133,-1.8649827812500932,-4.107276823169884,-2.2202227481115524,1.8704173718919508,-3.508467294220944,-4.367070842762165,
-1.7264516167637882,-2.179191627844275,0.4554331409242488,-4.622251576093586,,-2.9038029028893773,-2.535526500977258,-3.230025617351095,-4.382621763974643,-3.9073223679456244,-3.1030249187421233,-1.4440893995672694,-1.69577014740958,-4.088785641266692,-2.2837489795697667,,,,,-2.687321491612029,-3.4870961680434704,-2.938121374010569,0.556807880505316,-0.9768676015156104,-1.6253833409716163,-4.355042288629186,-4.05110036804626,-1.8477555033368307,-4.00922196239054,-2.1836178675552183,2.535327282298283,-2.965934277705046,-5.050803584048572,
-1.7252073273102648,-2.179191627844275,0.9023580137945726,-5.281642746591116,,-3.4696098842084138,-2.5986160983274478,-3.388524723606363,-5.025702867003041,-4.698244714955751,-3.642991984877638,-1.3982044799343714,-1.7608309611188375,-4.141727582899325,-2.4941413968988924,,,,,-2.155450336333532,-3.0985591445325853,-1.2462208591334687,0.26846581830069294,-1.5801951329700492,-1.6253833409716163,-5.035327014074334,-3.450327948047783,-1.7616191137705184,-4.134019057927887,-2.47645691200589,3.377546502146304,-3.7956906559058314,-7.680544896688601,
-1.7239630378567414,-2.179191627844275,1.3492828866648965,-5.116794953966733,,-3.9096819807898866,-1.9677201248255498,-2.453379996700281,-4.68437520462643,-3.8804202472990217,-2.898209824690721,-0.4805060872764064,-1.6795049439822658,-4.062314670450375,-2.490801834719065,,,,,-1.2012109106868165,-2.919234364450638,-0.867235143800998,0.18982707406306848,-1.781304310121529,-1.4986023474362307,-4.914922637889353,-3.104750892296447,-1.8649827812500932,-3.982479727632537,-2.526372658219073,3.18915536086451,-3.3488987599515623,-6.944217329149393,
-1.7227187484032178,-2.179191627844275,-0.4384166048163988,-4.896997897134223,,-1.9607912673576497,-3.6080496559304844,-2.389980354198174,-4.534322947253137,-3.901941943816304,-3.0099271487187584,-0.8475854443395924,-1.7608309611188375,-3.779957648409667,-2.4006336558637256,,,,,-3.586809474803605,-3.8083863990236257,-3.5742759676043585,0.45195622152181675,1.2353333471506656,-1.6253833409716163,-4.752376730039627,-4.7582041898143785,-1.8477555033368307,-4.0003078841378725,-2.256827628667886,1.1057709749246687,-3.3169850530976857,-3.6307432752229567,
-1.7214744589496944,-2.1540618986070124,-1.3322663505570465,-5.061845689758606,,-2.1493935944639952,-3.6711392532806744,-2.128456828876981,-4.715704796825249,-3.5898773443157097,-2.674775176634646,-0.38873624801060996,-1.728300554264209,-3.727015706777034,-2.2069390494337364,,,,,-3.3208738971643563,-3.4123775096759927,-2.3155019845357963,0.39953039203006707,-0.5746492472126511,-1.6253833409716163,-4.92696307550785,-4.306295732293401,-1.813300947510306,-4.00922196239054,-2.010576614016185,1.3495712754069906,-3.2212439325360567,-4.314476016509364,
-1.720230169496171,-2.1540618986070124,0.4554331409242488,-5.116794953966733,,-3.1552726723645046,-2.724795293027827,-2.548479460453442,-4.872352757819346,-3.950365760980189,-2.898209824690721,-0.7099306854408977,-1.7933613679734661,-3.797604962287211,-2.2403346712320107,,,,,-2.4448508178821258,-2.896818766940395,-0.6642070820157461,-0.019876243903930155,-1.3790859558185695,-1.435211850668538,-5.011246138837338,-3.9181861158342075,-1.778846391683781,-3.830940397337187,-2.2934325092242203,1.604453407729418,-2.997847984558922,-4.630044974026167,
